;abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;gdd5;mtco;pann;e_pe;tann;mtwa;long;lati;alti;biome;age
BP26;23.712342079689;0.291545189504373;0;23.1292517006803;0;0.194363459669582;0;0;3.69290573372206;0;0.194363459669582;0;8.06608357628765;1.06899902818271;0;0;17.7842565597668;2.62390670553936;1.55490767735665;0;0;4.27599611273081;0;4.95626822157435;0;1.16618075801749;0;5.05344995140914;0.097181729834791;1.36054421768707;0.777453838678329;NA;NA;NA;NA;NA;NA;8.3171;47.31;419;NA;5099
BP27;18.1215469613259;0.110497237569061;0;28.7292817679558;0.441988950276243;0.220994475138121;0;0;4.86187845303867;0;0.110497237569061;0;9.28176795580111;1.43646408839779;0;0;17.4585635359117;3.0939226519337;0.994475138121547;0;0;1.65745856353591;0;4.08839779005525;0.220994475138121;1.54696132596685;0;3.86740331491712;0.552486187845305;1.76795580110497;1.43646408839779;NA;NA;NA;NA;NA;NA;8.3172;47.32;419;NA;5187
BP28;25.9725400457665;0.11441647597254;0;22.0823798627002;0.22883295194508;0.11441647597254;0;0;3.4324942791762;0;0;0;6.40732265446225;2.51716247139589;0;0;14.3020594965675;1.25858123569794;1.37299771167049;0;0;3.89016018306636;0;6.06407322654462;0.11441647597254;2.05949656750572;0;6.40732265446225;0;2.74599542334096;0.91533180778032;NA;NA;NA;NA;NA;NA;8.3173;47.33;419;NA;5275
BP29;27.3825503355705;0.134228187919463;0;19.5973154362416;0;0.268456375838926;0;0;2.81879194630872;0;0;0;8.59060402684564;0.805369127516779;0;0;20.4026845637584;2.68456375838926;0.536912751677853;0;0;4.42953020134228;0;4.02684563758389;0;0.402684563758389;0;4.69798657718121;0.268456375838926;2.28187919463087;0.671140939597315;NA;NA;NA;NA;NA;NA;8.3174;47.34;419;NA;5363
BP30;22.5892857142857;0.267857142857143;0;21.5178571428571;0.0892857142857142;0.357142857142857;0;0;4.73214285714285;0;0;0;7.5;1.96428571428571;0;0;16.1607142857143;3.125;0.892857142857143;0;0;4.19642857142857;0;5.80357142857143;0.0892857142857142;1.25;0;6.07142857142857;0.178571428571429;2.41071428571429;0.803571428571428;NA;NA;NA;NA;NA;NA;8.3175;47.35;419;NA;5451
BP31;23.4455958549223;0.38860103626943;0;21.1139896373057;0;0.38860103626943;0;0;6.99481865284973;0;0;0;9.4559585492228;1.68393782383419;0;0;13.0829015544042;3.49740932642487;1.29533678756477;0;0;2.59067357512953;0;5.56994818652849;0;1.42487046632124;0;4.14507772020725;0.518134715025906;3.75647668393781;0.647668393782383;NA;NA;NA;NA;NA;NA;8.3176;47.36;419;NA;5610.909091
BP32;9.375;0;0;42.1875;0.9375;0;0;0;6.25;0;0.3125;0.3125;10.3125;2.1875;0;0;13.4375;0.9375;0;0;0;0.9375;0;2.5;0;1.25;0;4.375;0;3.4375;1.25;NA;NA;NA;NA;NA;NA;8.3177;47.37;419;NA;5842.727273
BP33;28.9805269186712;0.229095074455899;0;26.0022909507446;0.11454753722795;0.229095074455899;0;0;3.78006872852233;0;0;0;8.3619702176403;1.03092783505155;0;0;10.3092783505155;1.94730813287514;0.687285223367697;0;0;3.09278350515464;0;6.75830469644901;0;0.229095074455899;0;3.32187857961053;0.572737686139747;2.97823596792668;1.37457044673539;NA;NA;NA;NA;NA;NA;8.3178;47.38;419;NA;6074.545455
BP34;36.7248062015504;0.193798449612404;0;23.6434108527132;0.0968992248062016;0;0;0;3.19767441860465;0;0;0;6.2984496124031;1.45348837209302;0;0;11.8217054263566;1.93798449612404;0.67829457364341;0;0;1.84108527131783;0;4.16666666666667;0.0968992248062016;0.67829457364341;0;3.29457364341085;0.193798449612404;2.61627906976744;1.06589147286822;NA;NA;NA;NA;NA;NA;8.3179;47.39;419;NA;6306.363636
BP35;35.8;0.3;0;22.4;0;0.2;0;0;4.4;0;0;0;5.9;1.6;0;0;8.7;2.2;0.4;0;0;2;0;4.9;0;1.90000000000001;0;4.5;0.3;3.4;1.1;NA;NA;NA;NA;NA;NA;8.3180;47.40;419;NA;6538.181818
BP36;32.9268292682927;0.33259423503326;0;26.3858093126386;0.221729490022173;0;0;0;1.44124168514413;0;0.110864745011087;0;9.42350332594235;0.665188470066518;0;0;6.98447893569845;2.10643015521064;0.221729490022173;0;0;2.32815964523281;0;2.66075388026607;0;1.44124168514413;0;5.87583148558758;0.110864745011087;4.21286031042128;2.54988913525499;NA;NA;NA;NA;NA;NA;8.3181;47.41;419;NA;6770
BP37;29.4471153846154;0.360576923076923;0;32.0913461538462;0.48076923076923;0.120192307692308;0;0;2.04326923076923;0;0;0;8.29326923076923;0.48076923076923;0;0;8.17307692307691;2.64423076923077;0.240384615384615;0;0;1.5625;0;1.68269230769231;0;1.08173076923077;0;4.20673076923077;0.721153846153845;4.08653846153846;2.28365384615385;NA;NA;NA;NA;NA;NA;8.3182;47.42;419;NA;6975
BP38;40.1920438957476;0;0;19.0672153635117;0;0.411522633744856;0;0;1.09739368998628;0;0;0;5.89849108367627;0.411522633744856;0;0;8.77914951989027;2.19478737997257;0.274348422496571;0;0;0.960219478737998;0;3.97805212620028;0;0.960219478737998;0;4.25240054869685;0.137174211248285;8.64197530864198;2.74348422496571;NA;NA;NA;NA;NA;NA;8.3183;47.43;419;NA;7180
