Pays;Annee_civile;Annee;G;L;H;Rdt
France;2006;3;0.5;0.5;4;4.981
Norway_a;2006;3;0.5;0.5;4;2.785
Sweden_b;2006;3;0.5;0.5;4;2.226
Belgium;2003;1;0.5;0.5;4;4.192
Iceland_a;2003;1;0.5;0.5;4;1.74
Sweden_a;2003;1;0.5;0.5;4;4.883
Belgium;2004;2;0.5;0.5;4;7.715
France;2004;1;0.5;0.5;4;3.402
Iceland_a;2004;2;0.5;0.5;4;1.312
Norway_a;2004;1;0.5;0.5;4;5.289
Sweden_a;2004;2;0.5;0.5;4;4.401
Sweden_b;2004;1;0.5;0.5;4;3.892
Belgium;2005;3;0.5;0.5;4;5.037
France;2005;2;0.5;0.5;4;5.188
Iceland_a;2005;3;0.5;0.5;4;1.328
Norway_a;2005;2;0.5;0.5;4;4.899
Sweden_a;2005;3;0.5;0.5;4;3.693
Sweden_b;2005;2;0.5;0.5;4;3.141
France;2006;3;0.5;0.5;4;4.561
Norway_a;2006;3;0.5;0.5;4;5.046
Sweden_b;2006;3;0.5;0.5;4;1.967
Belgium;2003;1;0.5;0.5;3.3;4.172
Iceland_a;2003;1;0.5;0.5;3.3;2.836
Sweden_a;2003;1;0.5;0.5;3.3;4.507
Belgium;2004;2;0.5;0.5;3.3;7.371
France;2004;1;0.5;0.5;3.3;2.304
Iceland_a;2004;2;0.5;0.5;3.3;2.27
Norway_a;2004;1;0.5;0.5;3.3;4.849
Sweden_a;2004;2;0.5;0.5;3.3;3.951
Sweden_b;2004;1;0.5;0.5;3.3;2.887
Belgium;2005;3;0.5;0.5;3.3;4.645
France;2005;2;0.5;0.5;3.3;3.574
Iceland_a;2005;3;0.5;0.5;3.3;2
Norway_a;2005;2;0.5;0.5;3.3;3.067
Sweden_a;2005;3;0.5;0.5;3.3;3.193
Sweden_b;2005;2;0.5;0.5;3.3;2.991
France;2006;3;0.5;0.5;3.3;2.983
Norway_a;2006;3;0.5;0.5;3.3;3.397
Sweden_b;2006;3;0.5;0.5;3.3;2.199
Belgium;2003;1;0.5;0.5;3.3;3.641
Iceland_a;2003;1;0.5;0.5;3.3;2.01
Sweden_a;2003;1;0.5;0.5;3.3;3.431
Belgium;2004;2;0.5;0.5;3.3;6.883
France;2004;1;0.5;0.5;3.3;4.351
Iceland_a;2004;2;0.5;0.5;3.3;1.761
Norway_a;2004;1;0.5;0.5;3.3;3.943
Sweden_a;2004;2;0.5;0.5;3.3;3.26
Sweden_b;2004;1;0.5;0.5;3.3;2.937
Belgium;2005;3;0.5;0.5;3.3;4.122
France;2005;2;0.5;0.5;3.3;6.925
Iceland_a;2005;3;0.5;0.5;3.3;1.552
Norway_a;2005;2;0.5;0.5;3.3;3.311
Sweden_a;2005;3;0.5;0.5;3.3;3.249
Sweden_b;2005;2;0.5;0.5;3.3;2.881
France;2006;3;0.5;0.5;3.3;5.707
Norway_a;2006;3;0.5;0.5;3.3;3
Sweden_b;2006;3;0.5;0.5;3.3;2.055
Belgium;2003;1;0.2;0.8;3.3;3.924
Iceland_a;2003;1;0.2;0.8;3.3;1.829
Sweden_a;2003;1;0.2;0.8;3.3;3.523
Belgium;2004;2;0.2;0.8;3.3;6.79
France;2004;1;0.2;0.8;3.3;4.57
Iceland_a;2004;2;0.2;0.8;3.3;1.859
Norway_a;2004;1;0.2;0.8;3.3;5.159
Sweden_a;2004;2;0.2;0.8;3.3;3.814
Sweden_b;2004;1;0.2;0.8;3.3;3.981
Belgium;2005;3;0.2;0.8;3.3;4.77
France;2005;2;0.2;0.8;3.3;7.247
Iceland_a;2005;3;0.2;0.8;3.3;1.821
Norway_a;2005;2;0.2;0.8;3.3;3.366
Sweden_a;2005;3;0.2;0.8;3.3;2.933
Sweden_b;2005;2;0.2;0.8;3.3;3.354
France;2006;3;0.2;0.8;3.3;5.827
Norway_a;2006;3;0.2;0.8;3.3;3.063
Sweden_b;2006;3;0.2;0.8;3.3;2.161
Belgium;2003;1;0.2;0.8;2.56;3.788
Iceland_a;2003;1;0.2;0.8;2.56;2.423
Sweden_a;2003;1;0.2;0.8;2.56;4.058
Belgium;2004;2;0.2;0.8;2.56;6.688
France;2004;1;0.2;0.8;2.56;2.554
Iceland_a;2004;2;0.2;0.8;2.56;1.91
Norway_a;2004;1;0.2;0.8;2.56;4.742
Sweden_a;2004;2;0.2;0.8;2.56;3.972
Sweden_b;2004;1;0.2;0.8;2.56;3.781
Belgium;2005;3;0.2;0.8;2.56;4.833
France;2005;2;0.2;0.8;2.56;4.283
Iceland_a;2005;3;0.2;0.8;2.56;1.683
Norway_a;2005;2;0.2;0.8;2.56;3.668
Sweden_a;2005;3;0.2;0.8;2.56;3.594
Sweden_b;2005;2;0.2;0.8;2.56;3.334
France;2006;3;0.2;0.8;2.56;3.487
Norway_a;2006;3;0.2;0.8;2.56;3.432
Sweden_b;2006;3;0.2;0.8;2.56;2.285
